iter	Logloss
0	0.6585677822
1	0.6265439272
2	0.5965250967
3	0.5729548515
4	0.5517715744
5	0.5347481547
6	0.5197784221
7	0.506427426
8	0.4925807623
9	0.4816726794
10	0.4714738333
11	0.4624728754
12	0.4546105835
13	0.4489298749
14	0.4423065344
15	0.4369695112
16	0.4319585291
17	0.4274278666
18	0.4235288063
19	0.4198207879
20	0.4169917176
21	0.4141674229
22	0.4113301891
23	0.4085747782
24	0.405564337
25	0.4036479293
26	0.4022021089
27	0.3997072221
28	0.3980083416
29	0.3955121512
30	0.3933569666
31	0.3919669216
32	0.390299908
33	0.3896031101
34	0.3883029789
35	0.3875068766
36	0.3865493474
37	0.3849899951
38	0.3838821861
39	0.3829034068
40	0.3817683466
41	0.3808030088
42	0.3796733236
43	0.3791121185
44	0.3784959047
45	0.3775636326
46	0.3767689836
47	0.3758228563
48	0.3753413415
49	0.3748926719
50	0.3743982808
51	0.3739496332
52	0.3733324054
53	0.3723070542
54	0.3718735547
55	0.3713850788
56	0.3705985233
57	0.3700352982
58	0.3697453179
59	0.3693032831
60	0.3688258227
61	0.3680876207
62	0.3676375366
63	0.3668908066
64	0.3661732711
65	0.3657873422
66	0.365333895
67	0.3650176124
68	0.3641343417
69	0.3638254924
70	0.3629815297
71	0.3626852095
72	0.3624126267
73	0.3618329293
74	0.361544059
75	0.3612040777
76	0.3607348468
77	0.3602819979
78	0.3597353346
79	0.3593808874
80	0.3591236714
81	0.3588135818
82	0.3585832218
83	0.3581573132
84	0.3578678938
85	0.3575210239
86	0.3569690497
87	0.3564765952
88	0.3560669463
89	0.3557211951
90	0.3554170628
91	0.355004315
92	0.3547279412
93	0.3544692088
94	0.353961931
95	0.3537347251
96	0.3534714848
97	0.3532414646
98	0.3530413877
99	0.3527063887
100	0.3523227414
101	0.3520217132
102	0.351736471
103	0.3513641375
104	0.351009418
105	0.3508161843
106	0.3500172002
107	0.3498762851
108	0.3495733015
109	0.3492025782
110	0.3489186784
111	0.3484395051
112	0.3482478743
113	0.3479838208
114	0.347223177
115	0.3470059355
116	0.3466678132
117	0.3464496562
118	0.345889706
119	0.3453047305
120	0.3448058548
121	0.3445513474
122	0.3441943647
123	0.3439608075
124	0.3434707066
125	0.3431270868
126	0.3429808935
127	0.3424066922
128	0.3419650405
129	0.3417793685
130	0.3416226358
131	0.3412168152
132	0.3409236743
133	0.340753533
134	0.3403308534
