iter	Passed	Remaining
0	158	158308
1	170	85180
2	180	60020
3	193	48075
4	205	40949
5	219	36326
6	232	32939
7	242	30028
8	254	28065
9	267	26520
10	277	24994
11	290	23893
12	301	22912
13	311	21947
14	322	21178
15	333	20528
16	343	19847
17	353	19303
18	364	18828
19	375	18383
20	386	18001
21	397	17650
22	406	17273
23	417	16982
24	427	16667
25	437	16407
26	449	16182
27	459	15947
28	470	15754
29	483	15638
30	497	15545
31	507	15357
32	519	15208
33	530	15080
34	541	14922
35	552	14786
36	564	14697
37	578	14638
38	589	14517
39	600	14423
40	612	14315
41	621	14184
42	635	14132
43	647	14076
44	661	14045
45	674	13987
46	686	13912
47	735	14579
48	753	14623
49	766	14562
50	777	14472
51	787	14364
52	799	14291
53	816	14300
54	831	14287
55	847	14281
56	863	14277
57	880	14296
58	895	14286
59	914	14324
60	932	14349
61	948	14349
62	965	14366
63	982	14366
64	998	14367
65	1013	14344
66	1028	14327
67	1043	14300
68	1059	14293
69	1073	14262
70	1085	14199
71	1097	14144
72	1110	14097
73	1121	14039
74	1131	13959
75	1141	13882
76	1152	13820
77	1163	13752
78	1174	13694
79	1185	13628
80	1197	13586
81	1210	13551
82	1225	13544
83	1238	13503
84	1252	13487
85	1264	13435
86	1276	13399
87	1290	13371
88	1303	13339
89	1320	13354
90	1333	13320
91	1345	13282
92	1357	13242
93	1374	13246
94	1388	13225
95	1401	13194
96	1412	13152
97	1426	13129
98	1438	13092
99	1450	13054
100	1460	13002
101	1472	12965
102	1485	12932
103	1494	12879
104	1507	12845
105	1518	12811
106	1532	12790
107	1542	12743
108	1555	12718
109	1568	12690
110	1581	12669
111	1592	12627
112	1604	12596
113	1615	12555
114	1625	12506
115	1634	12457
116	1643	12405
117	1653	12359
118	1664	12320
119	1672	12268
120	1684	12237
121	1696	12209
122	1705	12163
123	1716	12128
124	1726	12087
125	1736	12043
126	1747	12009
127	1756	11965
128	1765	11923
129	1775	11883
130	1784	11838
131	1795	11804
132	1804	11765
133	1816	11736
134	1825	11696
135	1834	11656
136	1846	11631
137	1855	11589
138	1865	11552
139	1876	11527
140	1885	11485
141	1895	11451
142	1903	11406
143	1912	11367
144	1921	11327
145	1933	11307
146	1945	11287
147	1954	11248
148	1967	11238
149	1979	11215
150	1988	11180
151	1996	11138
152	2006	11105
153	2015	11073
154	2024	11034
155	2034	11009
156	2044	10979
157	2055	10951
158	2065	10922
159	2073	10886
160	2084	10862
161	2092	10825
162	2102	10794
163	2111	10762
164	2121	10733
165	2133	10717
166	2141	10681
167	2150	10650
168	2159	10616
169	2168	10586
170	2176	10553
171	2186	10524
172	2196	10498
173	2204	10466
174	2214	10441
175	2223	10409
176	2233	10384
177	2241	10352
178	2251	10324
179	2260	10297
180	2268	10265
181	2279	10246
182	2290	10227
183	2300	10203
184	2311	10184
185	2320	10155
186	2331	10136
187	2340	10111
188	2351	10088
189	2361	10066
190	2370	10040
191	2379	10015
192	2388	9988
193	2397	9962
194	2407	9938
195	2416	9911
196	2426	9889
197	2437	9873
198	2448	9856
199	2458	9835
200	2467	9808
201	2477	9786
202	2485	9758
203	2494	9734
204	2503	9707
205	2513	9686
206	2523	9666
207	2531	9640
208	2543	9626
209	2551	9599
210	2560	9576
211	2569	9549
212	2578	9526
213	2587	9501
214	2597	9483
215	2607	9465
216	2616	9440
217	2625	9418
218	2634	9394
219	2643	9372
220	2654	9355
221	2662	9331
222	2673	9314
223	2682	9291
224	2691	9269
225	2702	9255
226	2712	9238
227	2722	9219
228	2731	9196
229	2740	9175
230	2752	9162
231	2762	9145
232	2772	9125
233	2781	9104
234	2791	9087
235	2802	9071
236	2811	9051
237	2821	9033
238	2830	9012
239	2840	8993
240	2850	8977
241	2859	8956
242	2870	8941
243	2878	8919
244	2888	8900
245	2897	8881
246	2908	8865
247	2919	8853
248	2928	8832
249	2937	8813
250	2948	8799
251	2959	8783
252	2968	8765
253	2977	8746
254	2987	8728
255	2997	8712
256	3006	8692
257	3017	8677
258	3026	8658
259	3035	8640
260	3044	8621
261	3054	8603
262	3066	8594
263	3075	8575
264	3085	8557
265	3094	8540
266	3103	8521
267	3114	8506
268	3123	8488
269	3132	8468
270	3141	8449
271	3151	8434
272	3161	8418
273	3170	8401
274	3181	8386
275	3189	8367
276	3199	8349
277	3207	8330
278	3219	8319
279	3231	8309
280	3243	8300
281	3255	8289
282	3269	8283
283	3282	8275
284	3296	8270
285	3309	8261
286	3322	8255
287	3336	8249
288	3351	8244
289	3366	8241
290	3381	8238
291	3395	8232
292	3409	8227
293	3423	8222
294	3438	8217
295	3452	8211
296	3465	8202
